SAD;Denominazione
AFAM001;Arpa
AFAM002;Chitarra
AFAM003;Mandolino
AFAM004;Contrabbasso
AFAM005;Viola
AFAM006;Violino
AFAM007;Violoncello
AFAM008;Basso tuba
AFAM009;Clarinetto
AFAM010;Corno
AFAM011;Fagotto
AFAM012;Flauto
AFAM013;Oboe
AFAM014;Saxofono
AFAM015;Tromba
AFAM016;Trombone
AFAM017;Organo
AFAM018;Pianoforte
AFAM019;Strumenti a percussione
AFAM020;Canto
AFAM021;Accompagnamento pianistico
AFAM022;Strumenti ad ancia libera
AFAM023;Strumenti a pizzico storici
AFAM024;Strumenti ad arco storici
AFAM025;Strumenti a fiato storici
AFAM026;Strumenti a tastiera storici
AFAM027;Prepolifonia e canto storico
AFAM028;Strumenti a corde per i nuovi linguaggi musicali
AFAM029;Strumenti a fiato per i nuovi linguaggi musicali
AFAM030;Strumenti a tastiera per i nuovi linguaggi musicali
AFAM031;Strumenti a percussione per i nuovi linguaggi musicali
AFAM032;Canto per i nuovi linguaggi musicali
AFAM033;Musiche tradizionali
AFAM034;Musica da camera strumentale e vocale
AFAM035;Musica d'insieme per strumenti a fiato
AFAM036;Musica d'insieme per strumenti ad arco
AFAM037;Pratiche d'insieme ed estemporanee per i nuovi linguaggi musicali
AFAM038;Musica d'insieme per voci e strumenti storici
AFAM039;Musica liturgica
AFAM040;Musicologia e storia della musica
AFAM041;Composizione
AFAM042;Composizione, arrangiamento e concertazione per i nuovi linguaggi musicali
AFAM043;Composizione, strumentazione e direzione per orchestra di fiati
AFAM044;Esecuzione della musica elettroacustica e applicazioni del suono per le arti interattive
AFAM045;Composizione musicale elettroacustica e multimediale
AFAM046;Scienze del suono per la musica
AFAM047;Tecnologie del suono e della multimedialità
AFAM048;Coro
AFAM049;Orchestra
AFAM050;Lettura della partitura
AFAM051;Pratica pianistica e della lettura vocale e pianistica
AFAM052;Teoria, ritmica e percezione musicale
AFAM053;Pedagogia musicale e psicologia della musica
AFAM054;Movimento espressivo e consapevolezza corporea per le arti performative
AFAM055;Teoria e tecnica dell'interpretazione scenica
AFAM056;Lingua e letteratura italiana
AFAM057;Lingua straniera
AFAM059;Economia, management marketing delle imprese culturali creative e dello spettacolo
AFAM060;Musicoterapia
