edificio;piano;aula;codice_edificio;indirizzo;codice_aula;capienza;tipo_aula;prenotabile;attrezzatura;tipo_attrezzatura;marca;modello;quantita
SEDE CENTRALE;Piano Terra;1;CNT;;T1;4;classe;si;Pianoforte verticale;pianoforte;Yamaha;U3;1
SEDE CENTRALE;Piano Terra;2;CNT;;T2;4;classe;si;Leggio;leggio;;;5
SEDE CENTRALE;Piano Terra;3;CNT;;T3;4;classe;si;Pianoforte a coda;pianoforte_a_coda;Steinway;D-274;1
SEDE CENTRALE;Piano Terra;4;CNT;;T4;4;classe;si;;;;;
SEDE CENTRALE;Piano Terra;5;CNT;;T5;4;classe;si;;;;;
SEDE CENTRALE;Piano Terra;6;CNT;;T6;4;classe;si;;;;;
SEDE CENTRALE;Piano Terra;7;CNT;;T7;4;classe;si;;;;;
SEDE CENTRALE;Piano Terra;8;CNT;;T8;4;classe;si;;;;;
SEDE CENTRALE;Piano Terra;SALONE;CNT;;S;40;aula_concerti;si;;;;;
SEDE CENTRALE;Primo Piano;9;CNT;;P1;4;classe;si;;;;;
SEDE CENTRALE;Primo Piano;10;CNT;;P2;4;classe;si;;;;;
SEDE CENTRALE;Primo Piano;11;CNT;;P3;4;classe;si;;;;;
SEDE CENTRALE;Primo Piano;12;CNT;;P4;4;classe;si;;;;;
SEDE CENTRALE;Primo Piano;13;CNT;;P5;4;classe;si;;;;;
SEDE CENTRALE;Primo Piano;14;CNT;;P6;4;classe;si;;;;;
SEDE CENTRALE;Primo Piano;15;CNT;;P7;4;classe;si;;;;;
SEDE CENTRALE;Primo Piano;16;CNT;;P8;4;classe;si;;;;;
SEDE CENTRALE;Primo Piano;17;CNT;;P9;4;classe;si;;;;;
SEDE RADAR;Primo Piano;1;CNT;;T1;4;classe;si;Pianoforte verticale;pianoforte;Yamaha;U3;1
SEDE RADAR;Primo Piano;2;CNT;;T2;4;classe;si;Leggio;leggio;;;5
SEDE RADAR;Primo Piano;3;CNT;;T3;4;classe;si;Pianoforte a coda;pianoforte_a_coda;Steinway;D-274;1
SEDE RADAR;Primo Piano;4;CNT;;T4;4;classe;si;;;;;
SEDE RADAR;Primo Piano;5;CNT;;T5;4;classe;si;;;;;
SEDE RADAR;Primo Piano;6;CNT;;T6;4;classe;si;;;;;
SEDE RADAR;Primo Piano;7;CNT;;T7;4;classe;si;;;;;
SEDE RADAR;Primo Piano;8;CNT;;T8;4;classe;si;;;;;
SEDE RADAR;Primo Piano;PERC;CNT;;P;40;aula_concerti;si;;;;;
SEDE RADAR;Secondo Piano;9;CNT;;P1;4;classe;si;;;;;
SEDE RADAR;Secondo Piano;10;CNT;;P2;40;aula_concerti;si;Pianoforte a coda;pianoforte_a_coda;Steinway;D-274;
SEDE RADAR;Secondo Piano;11;CNT;;P3;4;classe;si;;;;;
SEDE RADAR;Secondo Piano;12;CNT;;P4;4;classe;si;;;;;
SEDE RADAR;Secondo Piano;13;CNT;;P5;4;classe;si;;;;;
SEDE RADAR;Secondo Piano;14;CNT;;P6;4;classe;si;;;;;
SEDE RADAR;Secondo Piano;15;CNT;;P7;4;classe;si;;;;;
SEDE RADAR;Secondo Piano;16;CNT;;P8;4;classe;si;;;;;
SEDE RADAR;Secondo Piano;17;CNT;;P9;4;classe;si;;;;;
